"Label","14.0","15.0","13.0","16.0","12.0","10.0","9.0 Pie","11.0","8.0 Oreo","Other (dotted)"
"","70.1","2.14","13.64","0","7.77","3.06","1.32","1.17","0.4","0.39"
"Mar 2025","69.56","3.83","12.92","0","7.36","2.92","1.44","1.16","0.41","0.4"
"Apr 2025","67.06","6.18","12.95","0","7.21","2.83","1.52","1.1","0.51","0.63"
"May 2025","58.95","15.49","12.32","0.01","6.95","2.7","1.54","1.02","0.48","0.55"
"June 2025","41.99","33.79","11.58","0.07","6.82","2.51","1.32","0.95","0.48","0.49"
"July 2025","26.73","49.63","11.2","0.28","6.51","2.56","1.27","0.88","0.47","0.47"
"Aug 2025","15.18","60.23","10.59","1.22","7.3","2.37","1.55","0.87","0.32","0.37"
"Sept 2025","10.2","64.93","10.23","2.09","7.03","2.34","1.51","0.82","0.35","0.51"
"Oct 2025","8.29","62.09","9.42","6.32","6.17","2.26","1.45","0.8","1.13","2.08"
"Nov 2025","8.54","50.91","9.03","13.74","6.27","2.42","1.86","0.87","2.12","4.23"
"Dec 2025","7.33","29.22","7.94","34.19","6.04","2.33","2.43","0.74","3.27","6.51"
"Jan 2026","6.46","18.38","7.98","47.42","5.33","2.12","2.59","0.69","3.03","6.01"
"Feb 2026","6.75","15.26","8.97","56.93","5.43","2.19","1.24","0.73","0.83","1.67"
