"Label","Chrome","Samsung Internet","Safari","Whale Browser","Edge","Firefox","Opera","IE","Brave","Other (dotted)"
"","54.14","15.17","11.52","9.41","7.5","1.13","0.37","0.1","0","0.65"
"Mar 2025","55.08","14.8","11.58","9.18","7.28","0.74","0.38","0.12","0.11","0.74"
"Apr 2025","55.04","14.97","11.14","9.44","7.3","0.76","0.37","0.1","0.21","0.66"
"May 2025","55.87","14.61","11.59","8.7","7.22","0.68","0.38","0.11","0.2","0.65"
"June 2025","56.57","14.44","11.25","8.5","7.23","0.7","0.4","0.11","0.22","0.57"
"July 2025","57.37","14.49","10.76","8.25","7.08","0.64","0.4","0.27","0.23","0.51"
"Aug 2025","57.98","14.95","9.81","7.92","7.15","0.67","0.44","0.33","0.23","0.52"
"Sept 2025","58.78","15.14","9.51","7.23","7.14","0.65","0.42","0.37","0.27","0.5"
"Oct 2025","60.33","14.72","9.27","6.53","6.96","0.68","0.48","0.28","0.28","0.47"
"Nov 2025","57.09","14.23","9.68","7.9","8.09","1.34","0.44","0.31","0.37","0.56"
"Dec 2025","58.03","12.41","9.91","8.52","7.78","1.41","0.53","0.49","0.34","0.58"
"Jan 2026","58.89","11.38","10.38","8.63","8.05","0.87","0.34","0.52","0.33","0.62"
"Feb 2026","55.01","12.22","12.85","9.24","8.46","0.75","0.37","0.09","0.35","0.66"
